Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES
FACULDADE LOURENÇO FILHO;2771;Faculdade;CE
FACULDADE DE FORTALEZA;2773;Faculdade;CE
FACULDADE EVANGÉLICA DE CERES;2774;Faculdade;GO
FACULDADE DOS CARAJÁS;2775;Faculdade;PA
FACULDADE PAN AMAZÔNICA;2779;Faculdade;PA
INSTITUTO DE ENSINO E PESQUISA OBJETIVO;2783;Faculdade;TO
Faculdade Anhanguera de Tecnologia de Jundiaí;2787;Faculdade;SP
FACULDADE DE TECNOLOGIA DE TAUBATÉ;2791;Faculdade;SP
CENTRO UNIVERSITÁRIO DO PLANALTO CENTRAL APPARECIDO DOS SANTOS;2794;Centro Universitário;DF
FACULDADE CDL;2796;Faculdade;CE
FACULDADE DE ADMINISTRAÇÃO DE ITABIRITO;2814;Faculdade;MG
FACULDADES INTEGRADAS DE JACAREPAGUÁ;2832;Faculdade;RJ
ESCOLA DE ENGENHARIA DE PIRACICABA;2835;Faculdade;SP
FACULDADE DE CIÊNCIAS GERENCIAIS DE SÃO GOTARDO;2843;Faculdade;MG
FACULDADE DELTA;2844;Faculdade;GO
FACULDADE DA ESCADA;2845;Faculdade;PE
FACULDADES INTEGRADAS ASMEC;2849;Faculdade;MG
FACULDADE PADRE DOURADO FORTALEZA;2855;Faculdade;CE
FACULDADE ANHANGUERA DE JUNDIAÍ;2859;Faculdade;SP
Faculdade Trilógica Keppe & Pacheco;2870;Faculdade;MG
Faculdade Una de Pouso Alegre;2879;Faculdade;MG
FACULDADE INTEGRADA DE PONTA GROSSA;2891;Faculdade;PR
INSTITUTO SUPERIOR DE EDUCAÇÃO ELVIRA DAYRELL;2896;Faculdade;MG
FACULDADE DE TECNOLOGIA FTEC;2903;Faculdade;RS
FACULDADE UNINASSAU VITÓRIA DA CONQUISTA;2904;Faculdade;BA
FACULDADE UNINASSAU ARACAJU;2908;Faculdade;SE
FACULDADE SANTA IZILDINHA;2909;Faculdade;SP
CENTRO UNIVERSITÁRIO ESTÁCIO JUIZ DE FORA - ESTÁCIO JUIZ DE FORA;2910;Centro Universitário;MG
FACULDADE ARMANDO ALVARES PENTEADO;2911;Faculdade;SP
FACULDADE DE HORTOLÂNDIA;2915;Faculdade;SP
CENTRO UNIVERSITÁRIO FARIAS BRITO;2917;Centro Universitário;CE
CENTRO UNIVERSITÁRIO METODISTA;2918;Centro Universitário;RS
CENTRO UNIVERSITÁRIO DE DESENVOLVIMENTO DO CENTRO OESTE;2927;Centro Universitário;GO
FACULDADE CNEC CAMPO LARGO;2944;Faculdade;PR
Faculdade do Maciço do Baturité;2961;Faculdade;CE
TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS;2964;Faculdade;RJ
Faculdade de Ciências da Saúde IGESP;2969;Faculdade;SP
CENTRO UNIVERSITÁRIO BRASILEIRO;2971;Centro Universitário;PE
Faculdade do Norte de Mato Grosso;2973;Faculdade;MT
CENTRO UNIVERSITÁRIO TERESA DÁVILA;2974;Centro Universitário;SP
CENTRO UNIVERSITÁRIO ATENAS;3004;Centro Universitário;MG
FACULDADE IBMEC;3020;Faculdade;MG
FACULDADE HORIZONTINA;3021;Faculdade;RS
FACULDADE DE SÃO LOURENÇO;3027;Faculdade;MG
FACULDADE PANAMERICANA DE JI-PARANÁ;3029;Faculdade;RO
FACULDADE SANTÍSSIMO SACRAMENTO;3034;Faculdade;BA
Centro Universitário UNIBTA;3042;Centro Universitário;SP
CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ;3099;Centro Universitário;CE
FACULDADE ESTÁCIO DE TERESINA;3149;Faculdade;PI
FACULDADE VALE DO CRICARÉ;3157;Faculdade;ES
Faculdade Pitágoras de Arapiraca;3170;Faculdade;AL
Faculdade Pitágoras de Brumado;3177;Faculdade;BA
FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS;3182;Faculdade;BA
FACULDADE DE ENGENHARIA DE RESENDE;3186;Faculdade;RJ
Faculdade de Tecnologia e Negócios de Catalão;3190;Faculdade;GO
FACULDADE ESTÁCIO DE BELÉM - ESTÁCIO BELÉM;3192;Faculdade;PA
