Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES
CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;10;Centro Universitário;SP
FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ;11;Faculdade;SP
UNIVERSIDADE PITÁGORAS UNOPAR;13;Universidade;PR
Faculdade de Ciencias Humanas e Sociais de Serra Talhada;27;Faculdade;PE
Faculdade UNIRB - ARACAJU;30;Faculdade;SE
FACULDADE ANHANGUERA DE PASSO FUNDO;67;Faculdade;RS
ESCOLA SUPERIOR DA AMAZÔNIA;68;Faculdade;PA
FACULDADE EDUCACIONAL DE PONTA GROSSA;73;Faculdade;PR
FACULDADE ANHANGUERA DE PORTO ALEGRE;76;Faculdade;RS
FACULDADE DO SUL;77;Faculdade;BA
FACULDADE ESTÁCIO DE FEIRA DE SANTANA;84;Faculdade;BA
FACULDADE ANHANGÜERA DE RIBEIRÃO PRETO;99;Faculdade;SP
FACULDADE DE MACAPÁ;109;Faculdade;AP
CENTRO UNIVERSITÁRIO SANT¿ANNA;125;Centro Universitário;SP
FACULDADE ANHANGUERA DE ANÁPOLIS;126;Faculdade;GO
Faculdade Pitagoras de Campina Grande;135;Faculdade;PB
FACULDADE UNIME DE CIÊNCIAS SOCIAIS;138;Faculdade;BA
Faculdade Estácio de Carapicuíba;139;Faculdade;SP
FACULDADE ANHANGÜERA DE SOROCABA;142;Faculdade;SP
FACULDADE ANHANGUERA DE TAGUATINGA;144;Faculdade;DF
CENTRO UNIVERSITÁRIO NEWTON PAIVA;146;Centro Universitário;MG
Centro Universitário da Amazônia;150;Centro Universitário;PA
CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA;158;Centro Universitário;DF
FACULDADE PITÁGORAS DE IMPERATRIZ;159;Faculdade;MA
CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM;160;Centro Universitário;SP
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;161;Centro Universitário;SP
UNIVERSIDADE REGIONAL DE BLUMENAU;163;Universidade;SC
Faculdade Anhanguera de Catanduva;165;Faculdade;SP
Faculdade Autônoma do Brasil - Cabo de Santo Agostinho;166;Faculdade;PE
CENTRO UNIVERSITÁRIO TOLEDO;167;Centro Universitário;SP
CENTRO UNIVERSITÁRIO CELSO LISBOA;170;Centro Universitário;RJ
FACULDADE ANHANGUERA DE BRASÍLIA;171;Faculdade;DF
Faculdade Pitagoras de Jacobina;176;Faculdade;BA
Faculdade Pitágoras de Jequié;197;Faculdade;BA
FACULDADE ANHANGÜERA DE CAMPINAS;202;Faculdade;SP
CENTRO UNIVERSITÁRIO DE ITAJUBÁ;203;Centro Universitário;MG
FACULDADES INTEGRADAS DE JAHU;206;Faculdade;SP
"FACULDADE DE CIÊNCIAS HUMANAS; ECONÔMICAS E DA SAÚDE";208;Faculdade;TO
FACULDADE TERRA NORDESTE;213;Faculdade;CE
Centro Universitário Dinâmica das Cataratas;214;Centro Universitário;PR
CENTRO UNIVERSITÁRIO DE GOIÁS;216;Centro Universitário;GO
Faculdade Estácio de Rio Preto;219;Faculdade;SP
FACULDADE DE MINAS BH;220;Faculdade;MG
CENTRO UNIVERSITÁRIO DE BRASÍLIA;221;Centro Universitário;DF
FACULDADE ANHANGÜERA DE DOURADOS;222;Faculdade;MS
Faculdade Anhanguera de São José do Rio Preto;224;Faculdade;SP
CENTRO UNIVERSITÁRIO UNINORTE;225;Centro Universitário;AC
Centro Universitário Regional do Brasil;234;Centro Universitário;BA
FACULDADE REGIONAL DE ALAGOINHAS;242;Faculdade;BA
FACULDADE PITÁGORAS DE SÃO LUIZ;254;Faculdade;MA
UNIVERSIDADE SANTO AMARO;266;Universidade;SP
INSTITUTO DE EDUCAÇÃO SUPERIOR RAIMUNDO SÁ;267;Faculdade;PI
FACULDADE ANHANGUERA DE NEGÓCIOS E TECNOLOGIAS DA INFORMAÇÃO;270;Faculdade;DF
FACULDADE ESAMC SOROCABA;271;Faculdade;SP
FACULDADE PITÁGORAS DE GOVERNADOR VALADARES;275;Faculdade;MG
FACULDADE DE COMPUTAÇÃO DE MONTES CLAROS;277;Faculdade;MG
"FACULDADE ANHANGUERA DE EDUCAÇÃO; CIÊNCIAS E TECNOLOGIA DE SOROCABA";278;Faculdade;SP
CENTRO UNIVERSITÁRIO UNIC;284;Centro Universitário;MT
Faculdade IDEAU de Passo Fundo;294;Faculdade;RS
FACULDADE ANHANGUERA DE GUARULHOS;296;Faculdade;SP
FACULDADE DE EDUCAÇÃO SÃO LUÍS;298;Faculdade;SP
FACULDADE CASTRO ALVES;302;Faculdade;BA
FACULDADE DE CIÊNCIAS JURÍDICAS E GERENCIAIS DE OLIVEIRA;307;Faculdade;MG
FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA;308;Faculdade;BA
INSTITUTO DE ENSINO SUPERIOR DE RIO VERDE;316;Faculdade;GO
FACULDADE ANHANGUERA DE ITAPECERICA DA SERRA;319;Faculdade;SP
FACULDADE SEQÜENCIAL;322;Faculdade;SP
CENTRO UNIVERSITÁRIO ANHANGÜERA;330;Centro Universitário;SP
FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM;337;Faculdade;SP
Faculdade Pitágoras de Bacabal;339;Faculdade;MA
CENTRO UNIVERSITÁRIO UNIVERSUS VERITAS;343;Centro Universitário;RJ
FACULDADE CAPIVARI;344;Faculdade;SC
INSTITUTO MASTER DE ENSINO PRESIDENTE ANTÔNIO CARLOS;346;Faculdade;MG
FACULDADE MONTES BELOS;349;Faculdade;GO
FACULDADE DO VALE DO ITAPECURÚ;351;Faculdade;MA
FACULDADE SENAC PORTO ALEGRE - FSPOA;352;Faculdade;RS
FACULDADES INTEGRADAS RIO BRANCO;355;Faculdade;SP
FACULDADE UNINASSAU SÃO LUÍS;361;Faculdade;MA
CENTRO UNIVERSITÁRIO ANHANGUERA DE NITERÓI;363;Centro Universitário;RJ
FACULDADE SALESIANA MARIA AUXILIADORA;371;Faculdade;RJ
FACULDADE ESCRITOR OSMAN DA COSTA LINS;372;Faculdade;PE
UNIVERSIDADE DE FORTALEZA;373;Universidade;CE
FACULDADE RAIMUNDO MARINHO;374;Faculdade;AL
FACULDADE SÃO SALVADOR;375;Faculdade;BA
FACULDADE ORÍGENES LESSA;376;Faculdade;SP
FACULDADE PITÁGORAS DE MINAS GERAIS;383;Faculdade;MG
CENTRO UNIVERSITÁRIO ASSIS GURGACZ;384;Centro Universitário;PR
FACULDADES INTEGRADAS EINSTEIN DE LIMEIRA;385;Faculdade;SP
FACULDADE DE TECNOLOGIA ASSESSORITEC;386;Faculdade;SC
FACULDADE DE ENSINO SUPERIOR DE FLORIANO;387;Faculdade;PI
CENTRO UNIVERSITÁRIO DE PAULÍNIA;396;Centro Universitário;SP
Universidade Universus Veritas Guarulhos;398;Universidade;SP
FACULDADES INTEGRADAS POTENCIAL;402;Faculdade;SP
Centro Universitário UNIFACEAR;403;Centro Universitário;PR
FACULDADE DE TECNOLOGIA FTEC;404;Faculdade;RS
UNIVERSIDADE DO VALE DO PARAÍBA;405;Universidade;SP
UNIVERSIDADE VEIGA DE ALMEIDA;416;Universidade;RJ
UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY;417;Universidade;RJ
FACULDADE FRASSINETTI DO RECIFE;423;Faculdade;PE
FACULDADE DE APUCARANA;430;Faculdade;PR
UNIVERSIDADE VILA VELHA;432;Universidade;ES
FACULDADE UNINASSAU JOÃO PESSOA;437;Faculdade;PB
CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA;438;Centro Universitário;RS
FACULDADE UNINASSAU TERESINA;439;Faculdade;PI
FACULDADE UNA DE CATALÃO;440;Faculdade;GO
CENTRO DE ENSINO SUPERIOR DE ILHÉUS;446;Faculdade;BA
FACULDADE UNA DE UBERLÂNDIA;450;Faculdade;MG
CENTRO UNIVERSITÁRIO AMPARENSE;456;Centro Universitário;SP
FACULDADE SÃO SEBASTIÃO;457;Faculdade;SP
CENTRO UNIVERSITÁRIO CAMPO REAL;458;Centro Universitário;PR
UNIVERSIDADE SALGADO DE OLIVEIRA;461;Universidade;RJ
Faculdade Una de Sete Lagoas;466;Faculdade;MG
CENTRO UNIVERSITÁRIO FACENS;472;Centro Universitário;SP
FACULDADE RENOVAÇÃO DE LONDRINA;473;Faculdade;PR
INSTITUTO DE CIÊNCIAS DA SAÚDE;474;Faculdade;MG
CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS;475;Centro Universitário;AM
FACULDADE IDEAU DE BAGÉ;481;Faculdade;RS
Faculdade Unida de Campinas Goiânia - FACUNICAMPS GOIÂNIA;483;Faculdade;GO
CENTRO UNIVERSITÁRIO DO TRIÂNGULO;489;Centro Universitário;MG
FACULDADE UNINASSAU PARNAÍBA;492;Faculdade;PI
CENTRO UNIVERSITÁRIO JORGE AMADO;493;Centro Universitário;BA
UNIVERSIDADE VALE DO RIO VERDE;494;Universidade;MG
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE SINOP;495;Faculdade;MT
CENTRO UNIVERSITÁRIO DE LINS;496;Centro Universitário;SP
UNIVERSIDADE DA AMAZÔNIA;502;Universidade;PA
FACULDADES INTEGRADAS DOS CAMPOS GERAIS;507;Faculdade;PR
FACULDADE CESUMAR ;508;Faculdade;PR
"FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO; TECNOLOGIA E EDUCAÇÃO";510;Faculdade;MG
Faculdade Doctum da Serra;513;Faculdade;ES
FACULDADE VALE DO SALGADO;514;Faculdade;CE
CENTRO UNIVERSITÁRIO IBMR;515;Centro Universitário;RJ
Faculdade Doctum de João Monlevade;516;Faculdade;MG
FACULDADE SOCIAL DA BAHIA;517;Faculdade;BA
FACULDADE IMPACTA DE TECNOLOGIA;518;Faculdade;SP
Centro Universitário Maurício de Nassau de Campina Grande;519;Centro Universitário;PB
FACULDADE DE TECNOLOGIA SENAC DF;521;Faculdade;DF
Faculdades Unificadas de Leopoldina;522;Faculdade;MG
CENTRO UNIVERSITÁRIO UNA;526;Centro Universitário;MG
UNIVERSIDADE TUIUTI DO PARANÁ;527;Universidade;PR
CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA;533;Centro Universitário;ES
CENTRO UNIVERSITÁRIO DE BELO HORIZONTE;544;Centro Universitário;MG
FACULDADE MONTESSORIANO DE SALVADOR;545;Faculdade;BA
CENTRO UNIVERSITARIO PROJEÇÃO;546;Centro Universitário;DF
FACULDADE DE TECNOLOGIA E CIÊNCIAS;555;Faculdade;PE
CENTRO UNIVERSITÁRIO UNIFTEC;606;Centro Universitário;RS
UNIVERSIDADE DO CEUMA - UNICEUMA;607;Universidade;MA
CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE;610;Centro Universitário;MT
CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;621;Centro Universitário;SP
UNIVERSIDADE METODISTA DE PIRACICABA;624;Universidade;SP
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE BELO HORIZONTE;625;Faculdade;MG
UNIVERSIDADE ESTÁCIO DE SÁ;626;Universidade;RJ
FACULDADE DE MAUÁ - FAMA;627;Faculdade;SP
FACULDADE DE SÃO PAULO;631;Faculdade;SP
CENTRO UNIVERSITÁRIO DO RIO DE JANEIRO;636;Centro Universitário;RJ
FACULDADE DE SANTA LUZIA;638;Faculdade;MG
CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO BRASILEIRO DE EDUCAÇÃO;650;Centro Universitário;RJ
CENTRO UNIVERSITÁRIO DE PATOS DE MINAS;652;Centro Universitário;MG
ESCOLA SUPERIOR BATISTA DO AMAZONAS;657;Faculdade;AM
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;661;Centro Universitário;SC
CENTRO UNIVERSITÁRIO DE SÃO PAULO - UNI SÃO PAULO;663;Centro Universitário;SP
FACULDADE DE SANTA BÁRBARA D'OESTE;664;Faculdade;SP
Faculdade Presidente Antônio Carlos de Conselheiro Lafaiete;665;Faculdade;MG
FACULDADE DE TECNOLOGIA E CIÊNCIAS DE ITABUNA;667;Faculdade;BA
Faculdade Dom Pedro II de Jequié;668;Faculdade;BA
CENTRO UNIVERSITÁRIO ESTÁCIO DA AMAZÔNIA;669;Centro Universitário;RR
FACULDADE EDUVALE DE AVARÉ;671;Faculdade;SP
FACULDADE PIO DÉCIMO;672;Faculdade;SE
Centro Universitário Sudoeste Paulista;673;Centro Universitário;SP
FACULDADE DO TRABALHO;674;Faculdade;MG
FACULDADE DE IBITINGA;682;Faculdade;SP
CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX;686;Centro Universitário;MG
INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS;692;Faculdade;SC
Centro Universitário Estácio de Belo Horizonte - Estácio BH;701;Centro Universitário;MG
Faculdade Educacional Araucária;704;Faculdade;PR
Faculdade de Duque de Caxias;707;Faculdade;RJ
FACULDADE DE SALVADOR;712;Faculdade;BA
INSTITUTO DE ENSINO SUPERIOR DO ACRE;718;Faculdade;AC
FACULDADE DE MÚSICA CARLOS GOMES;721;Faculdade;SP
UNIVERSIDADE SÃO JUDAS TADEU;723;Universidade;SP
Centro Universitário Ruy Barbosa Wyden;727;Centro Universitário;BA
Centro Universitário Joaquim Nabuco de Recife;728;Centro Universitário;PE
FACULDADE UNINASSAU FORTALEZA;736;Faculdade;CE
CENTRO UNIVERSITÁRIO DOS GUARARAPES;738;Centro Universitário;PE
FACULDADE DO CENTRO LESTE;749;Faculdade;ES
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE MACEIÓ;750;Centro Universitário;AL
FACULDADE UNINASSAU JUAZEIRO DO NORTE;752;Faculdade;CE
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;753;Centro Universitário;PE
FACULDADE DE DIREITO MILTON CAMPOS;754;Faculdade;MG
FACULDADE CENTRO MATO-GROSSENSE;757;Faculdade;MT
CENTRO UNIVERSITÁRIO DE JOÃO PESSOA;760;Centro Universitário;PB
Faculdade Estácio de Alagoas - Estácio FAL;763;Faculdade;AL
Faculdade Estácio Euro- Panamericana de Humanidades e Tecnologias - Estácio EUROPAN;778;Faculdade;SP
Centro Universitário Estácio do Ceará;780;Centro Universitário;CE
"Faculdade Uberlandense de Núcleos Integrados de Ensino; Serviço Social e Aprendizagem";781;Faculdade;MG
Faculdade AGES de Jacobina;788;Faculdade;BA
Centro de Ensino Unificado do Piauí;790;Faculdade;PI
FACULDADE UNINASSAU JABOATÃO DOS GUARARAPES;793;Faculdade;PE
UNIVERSIDADE CIDADE DE SÃO PAULO;794;Universidade;SP
CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL;796;Centro Universitário;DF
Centro Universitário Joaquim Nabuco de Paulista;798;Centro Universitário;PE
Centro Universitário Estácio de São Paulo;802;Centro Universitário;SP
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DOM BOSCO;809;Faculdade;RJ
FACULDADE DE SÃO VICENTE;810;Faculdade;SP
UNIVERSIDADE IGUAÇU;823;Universidade;RJ
CENTRO UNIVERSITÁRIO SÃO JOSÉ DE ITAPERUNA;824;Centro Universitário;RJ
FACULDADE DA REGIÃO DOS LAGOS;826;Faculdade;RJ
FACULDADE CATÓLICA RAINHA DA PAZ DE ARAPUTANGA;828;Faculdade;MT
FACULDADE MARIO SCHENBERG;832;Faculdade;SP
FACULDADE DE GESTAO E NEGOCIOS DE SALVADOR;839;Faculdade;BA
FACULDADE DO PANTANAL MATOGROSSENSE;840;Faculdade;MT
FACULDADE CAPITAL FEDERAL;846;Faculdade;SP
FACULDADE DE ENFERMAGEM SÃO VICENTE DE PAULA;847;Faculdade;PB
Estácio FIB - Centro Universitário Estácio da Bahia;848;Centro Universitário;BA
Faculdade Estácio do Amapá - Estácio Amapá;852;Faculdade;AP
UNIVERSIDADE CRUZEIRO DO SUL;861;Universidade;SP
Centro Universitário CEUNI - FAMETRO;862;Centro Universitário;AM
UNIVERSIDADE DE FRANCA;877;Universidade;SP
FACULDADE DE SABARÁ;878;Faculdade;MG
CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO;881;Centro Universitário;RS
FACULDADE DO SUDESTE MINEIRO;882;Faculdade;MG
UNIVERSIDADE METODISTA DE SÃO PAULO;886;Universidade;SP
CENTRO UNIVERSITÁRIO SANTA RITA;891;Centro Universitário;SP
UNIVERSIDADE PAULISTA;898;Universidade;SP
Faculdade Integral Diferencial Wyden;905;Faculdade;PI
FACULDADE DO PIAUÍ;906;Faculdade;PI
UNIVERSIDADE ANHANGUERA;908;Universidade;MS
UNIVERSIDADE SALVADOR;916;Universidade;BA
FACULDADE SERGIPANA;918;Faculdade;SE
UNIVERSIDADE ANHANGUERA DE SÃO PAULO;923;Universidade;SP
FACULDADE DE AMERICANA;926;Faculdade;SP
UNIVERSIDADE DO SUL DE SANTA CATARINA;939;Universidade;SC
CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL GUAXUPÉ;940;Centro Universitário;MG
CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO;944;Centro Universitário;SP
CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO;945;Centro Universitário;SP
CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE;952;Centro Universitário;RN
INSTITUTO BELO HORIZONTE DE ENSINO SUPERIOR;976;Faculdade;MG
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;977;Centro Universitário;DF
FACULDADE METROPOLITANA DE ANÁPOLIS;983;Faculdade;GO
UNIVERSIDADE BRASIL;985;Universidade;SP
Faculdade UNIRB - NATAL;990;Faculdade;RN
Faculdades Sulamérica Bahia;994;Faculdade;BA
CENTRO UNIVERSITÁRIO DO NORTE;997;Centro Universitário;AM
ESCOLA SUPERIOR MADRE CELESTE;1012;Faculdade;PA
Centro Universitário Campo Limpo Paulista;1013;Centro Universitário;SP
CENTRO UNIVERSITÁRIO UNICENTRO AGES;1014;Centro Universitário;BA
CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA;1021;Faculdade;MG
UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;1030;Universidade;RS
UNIVERSIDADE DE CRUZ ALTA;1032;Universidade;RS
UNIVERSIDADE POTIGUAR;1038;Universidade;RN
UNIVERSIDADE DE MOGI DAS CRUZES;1045;Universidade;SP
FACULDADE DE TECNOLOGIA E CIÊNCIAS;1046;Faculdade;BA
UNIVERSIDADE CATÓLICA DE BRASÍLIA;1049;Universidade;DF
INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR;1051;Faculdade;PE
INSTITUTO DE EDUCAÇÃO SUPERIOR DA PARAÍBA;1053;Faculdade;PB
INSTITUTO SALVADOR DE ENSINO E CULTURA;1055;Faculdade;BA
UNIVERSIDADE NOVE DE JULHO;1058;Universidade;SP
FACULDADE REGIONAL DE RIACHÃO DO JACUÍPE;1059;Faculdade;BA
FACULDADE DE ENSINO DE MINAS GERAIS;1060;Faculdade;MG
UNIVERSIDADE DE RIBEIRÃO PRETO;1063;Universidade;SP
FACULDADE DE CASCAVEL;1064;Faculdade;PR
Centro Universitário Tocantinense Presidente Antônio Carlos;1066;Centro Universitário;TO
FACULDADE PITÁGORAS DE DIVINÓPOLIS - FPD;1067;Faculdade;MG
FACULDADE ANHANGUERA DE VALINHOS;1068;Faculdade;SP
FACULDADE PITÁGORAS DE LONDRINA;1070;Faculdade;PR
FACULDADE DE TECNOLOGIA SENAC MINAS - UNIDADE BELO HORIZONTE;1075;Faculdade;MG
FACULDADE SUL-AMERICANA;1076;Faculdade;GO
FACULDADE UNIÃO BANDEIRANTE;1077;Faculdade;SC
FACULDADE ITEANA DE IBITINGA;1078;Faculdade;SP
FACULDADE CIDADE DE JOÃO PINHEIRO;1080;Faculdade;MG
UNIVERSIDADE DE CAXIAS DO SUL;1081;Universidade;RS
UNIVERSIDADE DA REGIÃO DA CAMPANHA;1084;Universidade;RS
UNIÃO DAS FACULDADES DOS GRANDES LAGOS;1085;Faculdade;SP
FACULDADES INTEGRADAS DO VALE DO RIBEIRA;1087;Faculdade;SP
UNIVERSIDADE CATÓLICA DOM BOSCO;1090;Universidade;MS
FACULDADE ANHANGÜERA DE SÃO JOSÉ;1092;Faculdade;SP
Faculdade Vértix Trirriense;1096;Faculdade;RJ
Faculdade Pitagoras de Eunapolis;1099;Faculdade;BA
FACULDADE ANHANGUERA DE TABOÃO DA SERRA;1100;Faculdade;SP
CENTRO UNIVERSITÁRIO DO NORTE PAULISTA;1107;Centro Universitário;SP
FACULDADES INTEGRADAS DE TRÊS LAGOAS;1113;Faculdade;MS
CENTRO UNIVERSITÁRIO ANHANGUERA DE SANTO ANDRÉ;1115;Centro Universitário;SP
Faculdade Pitágoras de Luis Eduardo Magalhães;1118;Faculdade;BA
FACULDADE ANHANGUERA DE CAXIAS DO SUL;1124;Faculdade;RS
FACULDADE REDENTOR DE CAMPOS;1129;Faculdade;RJ
Faculdade Santista - FASAN;1131;Faculdade;SP
Faculdade Pitágoras de Tucuruí;1139;Faculdade;PA
FACULDADE ANHANGUERA DE MATÃO;1141;Faculdade;SP
FACULDADE DE QUATRO MARCOS;1142;Faculdade;MT
UNIVERSIDADE DO OESTE PAULISTA;1143;Universidade;SP
CENTRO UNIVERSITÁRIO FAMINAS;1149;Centro Universitário;MG
FACULDADE SERRA DO CARMO;1151;Faculdade;TO
FACULDADES INTEGRADAS MACHADO DE ASSIS;1155;Faculdade;RS
FACULDADE ESTÁCIO DE FLORIANÓPOLIS - ESTÁCIO FLORIANÓPOLIS;1156;Faculdade;SC
FACULDADE PITÁGORAS DE BETIM;1157;Faculdade;MG
FACULDADE ANHANGUERA DE JOINVILLE;1160;Faculdade;SC
FACULDADE PITÁGORAS DE POÇOS DE CALDAS;1170;Faculdade;MG
CENTRO UNIVERSITÁRIO FILADÉLFIA;1173;Centro Universitário;PR
FACULDADE DOM BOSCO DE PORTO ALEGRE;1174;Faculdade;RS
CENTRO UNIVERSITÁRIO DE RIO PRETO;1175;Centro Universitário;SP
"FACULDADE DE TECNOLOGIA; EDUCAÇÃO SUPERIOR E PROFISSIONAL";1182;Faculdade;PI
Faculdade SOCIESC;1185;Faculdade;SC
CENTRO UNIVERSITÁRIO INTA;1187;Centro Universitário;CE
UNIVERSIDADE VALE DO RIO DOCE;1196;Universidade;MG
FACULDADE DE TECNOLOGIA DA SERRA GAÚCHA DE BENTO CONÇALVES;1201;Faculdade;RS
FACULDADE ALFREDO NASSER;1202;Faculdade;GO
FACULDADE UNINASSAU ALIANÇA;1208;Faculdade;PI
FACULDADE SANTA RITA;1213;Faculdade;MG
FACULDADES INTEGRADAS BARROS MELO;1219;Faculdade;PE
INSTITUTO SUPERIOR DE CIÊNCIAS APLICADAS - ISCA;1225;Faculdade;SP
FACULDADE DE TECNOLOGIA E NEGÓCIOS CARLOS DRUMMOND DE ANDRADE;1226;Faculdade;SP
Centro Universitário UNIFAAT;1227;Centro Universitário;SP
FACULDADE EDUCACIONAL DE DOIS VIZINHOS;1230;Faculdade;PR
FACULDADE SERRA DA MESA;1231;Faculdade;GO
FACULDADE PITÁGORAS INSTITUTO CAMILLO FILHO;1232;Faculdade;PI
FACULDADE SANTO ANTÔNIO DE PÁDUA;1233;Faculdade;RJ
CENTRO UNIVERSITÁRIO AUTÔNOMO DO BRASIL;1237;Centro Universitário;PR
FACULDADE UNINASSAU NATAL;1240;Faculdade;RN
CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO;1243;Centro Universitário;CE
FACULDADE DE TECNOLOGIA E CIÊNCIAS DE VITÓRIA DA CONQUISTA;1252;Faculdade;BA
FACULDADE DE SANTO ANDRÉ;1253;Faculdade;SP
FACULDADE DE CAIEIRAS;1254;Faculdade;SP
UNIVERSIDADE FUMEC;1255;Universidade;MG
UNIVERSIDADE PRESIDENTE ANTÔNIO CARLOS;1256;Universidade;MG
FACULDADE ANCHIETA DE ENSINO SUPERIOR DO PARANÁ;1258;Faculdade;PR
Faculdade Estácio de Cuiabá;1264;Faculdade;MT
FACULDADE DE CIÊNCIAS HUMANAS E EXATAS DO SERTÃO DO SÃO FRANCISCO;1267;Faculdade;PE
CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE;1270;Centro Universitário;PR
CENTRO UNIVERSITÁRIO FUNDAÇÃO SANTO ANDRÉ;1273;Centro Universitário;SP
UNIVERSIDADE ANHEMBI MORUMBI;1275;Universidade;SP
Faculdade Cândido Rondon;1276;Faculdade;MT
FACULDADE UNINASSAU CARUARU;1279;Faculdade;PE
Faculdade AGES de Jeremoabo;1280;Faculdade;BA
Faculdade AGES de Lagarto;1281;Faculdade;SE
FACULDADE DE CIÊNCIAS E EMPREENDEDORISMO;1290;Faculdade;BA
UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;1291;Universidade;MG
Estácio FASE - Faculdade Estácio de Sergipe;1298;Faculdade;SE
CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;1299;Centro Universitário;RJ
FACULDADE SENAC BLUMENAU;1301;Faculdade;SC
FACULDADE PROJEÇÃO DE CEILÂNDIA;1302;Faculdade;DF
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA;1304;Faculdade;MG
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;1305;Universidade;PR
FACULDADE ESTÁCIO DE NATAL;1307;Faculdade;RN
INSTITUTO ITAPETININGANO DE ENSINO SUPERIOR;1308;Faculdade;SP
FACULDADE ESAMC SANTOS;1309;Faculdade;SP
FACULDADE ARTHUR SÁ EARP NETO;1310;Faculdade;RJ
Centro Universitário FBV Wyden;1311;Centro Universitário;PE
CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO;1312;Centro Universitário;SP
Faculdade de Botucatu;1313;Faculdade;SP
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;1314;Centro Universitário;SC
Faculdade Leonardo da Vinci - Santa Catarina;1317;Faculdade;SC
Faculdade Unirb - Parnaíba;1318;Faculdade;PI
FACULDADE EDUCACIONAL ARAUCÁRIA;1319;Faculdade;PR
FACULDADE METROPOLITANA DA GRANDE RECIFE;1322;Faculdade;PE
CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN;1325;Centro Universitário;DF
FACULDADE DE DIREITO DE ITÚ;1327;Faculdade;SP
Centro Universitário Tiradentes de Pernambuco;1328;Centro Universitário;PE
CENTRO UNIVERSITÁRIO CESMAC;1330;Centro Universitário;AL
CENTRO UNIVERSITÁRIO DE ANÁPOLIS;1334;Centro Universitário;GO
FACULDADE CATÓLICA DO TOCANTINS;1336;Faculdade;TO
CENTRO DE ENSINO SUPERIOR DE UBERABA;1337;Faculdade;MG
FACULDADE PITÁGORAS DO MARANHÃO;1345;Faculdade;MA
FACULDADE DOM BOSCO;1346;Faculdade;PR
FACULDADE DOM PEDRO II DE TECNOLOGIA;1350;Faculdade;BA
FACULDADE ANHANGUERA DE CIÊNCIAS E TECNOLOGIA DE BRASÍLIA;1351;Faculdade;DF
FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA;1353;Faculdade;BA
ESTÁCIO FATERN - FACULDADE ESTÁCIO DO RIO GRANDE DO NORTE;1355;Faculdade;RN
CENTRO UNIVERSITÁRIO ANHANGUERA DE CAMPO GRANDE;1364;Centro Universitário;MS
